ec_number,ec_abundance,ec_function,ec_class,ec_class_name,ko_ids,mapped,ko_functions,pathway_ids,pathway_names,brite_subclass,brite_class
EC:2.7.7.7,9,DNA-directed DNA polymerase,2,Transferases,"K02319,K02320,K02322,K02323,K02324,K02325,K02326,K02327,K02330,K02331,K02332,K02334,K02335,K02336,K02337,K02338,K02339,K02340,K02341,K02342,K02343,K02344,K02345,K02346,K02349,K02350,K03506,K03508,K03509,K03510,K03511,K03512,K03513,K03763,K04479,K10981,K14159,K14162,K16618,K18942,K18963,K18964,K21037,K21237,K21238,K21314,K21923,K22761,K24802,K25055,K25268,K26366,K26367,K26378,K26379",no,"DNA polymerase, archaea type, DNA polymerase alpha subunit A, DNA polymerase II large subunit, DNA polymerase II small subunit, DNA polymerase epsilon subunit 1, DNA polymerase epsilon subunit 2, DNA polymerase epsilon subunit 3, DNA polymerase delta subunit 1, DNA polymerase beta, DNA polymerase phi, DNA polymerase gamma 1, DNA polymerase bacteriophage-type, DNA polymerase I, DNA polymerase II, DNA polymerase III subunit alpha, DNA polymerase III subunit beta, DNA polymerase III subunit chi, DNA polymerase III subunit delta, DNA polymerase III subunit delta', DNA polymerase III subunit epsilon, DNA polymerase III subunit gamma/tau, DNA polymerase III subunit psi, DNA polymerase III subunit theta, DNA polymerase IV, DNA polymerase theta, DNA polymerase zeta, DNA polymerase epsilon subunit 4, DNA polymerase zeta, DNA polymerase eta, DNA polymerase iota, DNA polymerase kappa, DNA polymerase lambda, DNA polymerase mu, DNA polymerase III subunit alpha, Gram-positive type, DNA polymerase IV (archaeal DinB-like DNA polymerase), DNA polymerase IV, ribonuclease HI / DNA polymerase III subunit epsilon, error-prone DNA polymerase, DNA polymerase nu, Straboviridae DNA polymerase, Baculoviridae DNA polymerase, Herpesviridae DNA polymerase catalytic subunit, Hepadnaviridae DNA polymerase / reverse transcriptase / ribonuclease H, Salasmaviridae DNA polymerase, Autographiviridae DNA-directed DNA polymerase, Demerecviridae DNA polymerase, Adenoviridae DNA polymerase, DNA-directed primase/polymerase protein, HIV-1 reverse transcriptase / ribonuclease H, HTLV-1 reverse transcriptase / ribonuclease H, Poxviridae DNA polymerase, Ascoviridae DNA polymerase, Iridoviridae putative DNA polymerase, Asfivirus repair DNA polymerase X, Asfivirus DNA polymerase beta","map01524, map03030, map03082, map03230, map03240, map03250, map03260, map03267, map03272, map03410, map03420, map03430, map03440, map03450, map03460, map04139, map05161, map05166, map05169, map05200, map05202, map05203, map05210, map05212, map05213, map05214, map05216, map05217, map05218, map05220, map05222, map05223, map05224, map05225, map05226","Platinum drug resistance, DNA replication, ATP-dependent chromatin remodeling, Viral genome structure, Viral replication, Viral life cycle - HIV-1, Virion - Human immunodeficiency virus, Virion - Adenovirus, Virion - Hepatitis viruses, Base excision repair, Nucleotide excision repair, Mismatch repair, Homologous recombination, Non-homologous end-joining, Fanconi anemia pathway, Mitophagy - yeast, Hepatitis B, Human T-cell leukemia virus 1 infection, Epstein-Barr virus infection, Pathways in cancer, Transcriptional misregulation in cancer, Viral carcinogenesis, Colorectal cancer, Pancreatic cancer, Endometrial cancer, Glioma, Thyroid cancer, Basal cell carcinoma, Melanoma, Chronic myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Breast cancer, Hepatocellular carcinoma, Gastric cancer",Cancer: overview; Cancer: specific types; Chromosome; Drug resistance: antineoplastic; Infectious disease: viral; Information processing in viruses; Replication and repair; Transport and catabolism,Cellular Processes; Genetic Information Processing; Human Diseases
EC:3.6.4.12,9,DNA helicase,3,Hydrolases,,no,,,,,
EC:2.7.1.69,7,2.7.1.208,2,Transferases,,no,,,,,
EC:2.7.7.6,4,DNA-directed RNA polymerase,2,Transferases,"K00960,K02999,K03002,K03006,K03010,K03018,K03021,K03040,K03041,K03042,K03043,K03044,K03045,K03046,K03047,K03049,K03051,K03052,K03053,K03054,K03055,K03056,K03058,K03059,K03060,K10908,K13797,K13798,K16250,K16251,K16252,K21081,K21239,K21313,K25273,K25274,K25275,K25276,K25277,K25278,K25279,K26135,K26368,K26369,K26370,K26372,K26373",no,"DNA-directed RNA polymerase subunit 13, DNA-directed RNA polymerase I subunit RPA1, DNA-directed RNA polymerase I subunit RPA2, DNA-directed RNA polymerase II subunit RPB1, DNA-directed RNA polymerase II subunit RPB2, DNA-directed RNA polymerase III subunit RPC1, DNA-directed RNA polymerase III subunit RPC2, DNA-directed RNA polymerase subunit alpha, DNA-directed RNA polymerase subunit A', DNA-directed RNA polymerase subunit A"", DNA-directed RNA polymerase subunit beta, DNA-directed RNA polymerase subunit B', DNA-directed RNA polymerase subunit B"", DNA-directed RNA polymerase subunit beta', DNA-directed RNA polymerase subunit D, DNA-directed RNA polymerase subunit E', DNA-directed RNA polymerase subunit F, DNA-directed RNA polymerase subunit G, DNA-directed RNA polymerase subunit H, DNA-directed RNA polymerase subunit I, DNA-directed RNA polymerase subunit K, DNA-directed RNA polymerase subunit L, DNA-directed RNA polymerase subunit N, DNA-directed RNA polymerase subunit P, DNA-directed RNA polymerase subunit omega, DNA-directed RNA polymerase, mitochondrial, DNA-directed RNA polymerase subunit beta-beta', DNA-directed RNA polymerase subunit B, DNA-directed RNA polymerase IV subunit 1, DNA-directed RNA polymerase V subunit 1, DNA-directed RNA polymerase IV and V subunit 2, Poxviridae DNA-directed RNA polymerase 18 kDa subunit, Schitoviridae virion DNA-directed RNA polymerase, Autographiviridae RNA polymerase, Poxviridae DNA-directed RNA polymerase 147 kDa subunit, Poxviridae DNA-directed RNA polymerase 133 kDa subunit, Poxviridae DNA-directed RNA polymerase 30 kDa subunit, Poxviridae DNA-directed RNA polymerase 35 kDa subunit, Poxviridae DNA-directed RNA polymerase 22 kDa subunit, Poxviridae DNA-directed RNA polymerase 7 kDa subunit, Poxviridae DNA-directed RNA polymerase 19 kDa subunit, Baculoviridae probable DNA-directed RNA polymerase catalytic subunit, Iridoviridae putative DNA-directed RNA polymerase, Iridoviridae putative DNA-directed RNA polymerase II subunit RPB2, Iridovirus probable DNA-directed RNA polymerase subunit, Asfivirus DNA-directed RNA polymerase RPB1, Asfivirus DNA-directed RNA polymerase RPB2","map03020, map03240, map03268, map03420, map04623, map05016","RNA polymerase, Viral replication, Virion - Orthopoxvirus, Nucleotide excision repair, Cytosolic DNA-sensing pathway, Huntington disease",Immune system; Information processing in viruses; Neurodegenerative disease; Replication and repair; Transcription,Genetic Information Processing; Human Diseases; Organismal Systems
EC:2.3.1.128,4,[ribosomal protein bS18]-alanine N-acetyltransferase; [ribosomal protein uS5]-alanine N-acetyltransferase,2,Transferases,,no,,,,,
EC:2.1.1.72,3,site-specific DNA-methyltransferase (adenine-specific),2,Transferases,"K00571,K03427,K06223,K07316,K07317,K07318,K07319,K13581,K24174,K26414,K27990",no,"site-specific DNA-methyltransferase (adenine-specific), type I restriction enzyme M protein, DNA adenine methylase, adenine-specific DNA-methyltransferase, adenine-specific DNA-methyltransferase, adenine-specific DNA-methyltransferase, adenine-specific DNA-methyltransferase, modification methylase, N(6)-adenine-specific DNA methyltransferase, Straboviridae DNA adenine methylase, Phycodnaviridae type II methyltransferase M.CviAII","map03430, map04112","Mismatch repair, Cell cycle - Caulobacter",Cell growth and death; Replication and repair,Cellular Processes; Genetic Information Processing
EC:5.4.2.12,3,"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",5,Isomerases,"K15633,K15635",no,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent phosphoglycerate mutase","map00010, map00260, map00680, map01100, map01110, map01120, map01200, map01230","Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids",Amino acid metabolism; Carbohydrate metabolism; Energy metabolism,Metabolism
EC:3.6.3.21,3,ABC-type polar-amino-acid transporter,3,Hydrolases,,no,,,,,
EC:3.6.3.12,3,P-type K(+) transporter,3,Hydrolases,,no,,,,,
EC:1.1.1.1,3,alcohol dehydrogenase,1,Oxidoreductases,"K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857",no,"alcohol dehydrogenase, S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase, acetaldehyde dehydrogenase / alcohol dehydrogenase, choline dehydrogenase, alcohol dehydrogenase 1/7, alcohol dehydrogenase 6, alcohol dehydrogenase, propanol-preferring, alcohol dehydrogenase, alcohol dehydrogenase 4, alcohol dehydrogenase class-P","map00010, map00071, map00260, map00350, map00592, map00620, map00625, map00626, map00650, map00670, map00680, map00830, map00980, map00982, map01100, map01110, map01120, map01200, map01220, map04936, map05146","Glycolysis / Gluconeogenesis, Fatty acid degradation, Glycine, serine and threonine metabolism, Tyrosine metabolism, alpha-Linolenic acid metabolism, Pyruvate metabolism, Chloroalkane and chloroalkene degradation, Naphthalene degradation, Butanoate metabolism, One carbon pool by folate, Methane metabolism, Retinol metabolism, Metabolism of xenobiotics by cytochrome P450, Drug metabolism - cytochrome P450, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Degradation of aromatic compounds, Alcoholic liver disease, Amoebiasis",Amino acid metabolism; Carbohydrate metabolism; Endocrine and metabolic disease; Energy metabolism; Infectious disease: parasitic; Lipid metabolism; Metabolism of cofactors and vitamins; Xenobiotics biodegradation and metabolism,Human Diseases; Metabolism
