ec_number,description
EC:2.7.7.7,"Function: Catalyzes DNA synthesis using a DNA template and is essential for replication and repair of the bacterial genome; Role in LAB: Maintains genome stability and supports efficient growth of lactic acid bacteria during fermentation; Probiotic/Food Relevance: Ensures the viability and activity of LAB, contributing to consistent fermentation performance and probiotic effectiveness in food products; Biological Pathways: Associated with DNA replication, base excision repair, mismatch repair, homologous recombination, and nucleotide excision repair pathways, contributing to genetic stability and stress adaptation."
EC:2.7.1.69,"Function: Catalyzes the transfer of phosphate groups to specific substrates, facilitating phosphorylation reactions essential for energy metabolism and biosynthetic processes; Role in LAB: Supports metabolic flexibility and efficient energy utilization during fermentation; Probiotic/Food Relevance: Enhances metabolic activity and survival of LAB in diverse food environments, improving fermentation efficiency and product quality; Biological Pathways: Involved in carbohydrate metabolism and energy production pathways that sustain LAB growth and functionality."
EC:3.6.4.12,"Function: Unwinds double-stranded DNA into single strands using ATP hydrolysis, enabling replication, recombination, and repair processes; Role in LAB: Ensures accurate DNA replication and repair, maintaining genomic integrity under stress conditions during fermentation; Probiotic/Food Relevance: Supports stable inheritance of beneficial traits and enhances LAB resilience in food processing environments; Biological Pathways: Participates in DNA replication, recombination, and repair pathways, including homologous recombination and mismatch repair mechanisms."
EC:3.6.3.14,"Function: Catalyzes ATP hydrolysis to drive proton transport across cellular membranes, generating proton gradients essential for ATP synthesis and cellular energy balance; Role in LAB: Maintains intracellular pH and energy homeostasis during fermentation, especially under acidic or stress conditions; Probiotic/Food Relevance: Enhances acid tolerance and survivability of LAB in gastrointestinal and fermented food environments, supporting probiotic functionality; Biological Pathways: Involved in oxidative phosphorylation and proton transport pathways that regulate energy metabolism and cellular adaptation."
EC:3.6.3.21,"Function: Utilizes ATP hydrolysis to transport polar amino acids across cellular membranes, facilitating nutrient uptake and metabolic balance; Role in LAB: Supports amino acid acquisition necessary for growth, protein synthesis, and metabolic activity during fermentation; Probiotic/Food Relevance: Enhances nutrient utilization and contributes to flavor and texture development in fermented foods while supporting LAB survival; Biological Pathways: Associated with ABC transporters and amino acid transport pathways that regulate nutrient exchange and cellular adaptation."
EC:3.6.3.34,"Function: Uses ATP hydrolysis to transport ferric hydroxamate complexes across the cell membrane, enabling iron acquisition under limited conditions; Role in LAB: Supports iron homeostasis and promotes metabolic processes that depend on iron-containing enzymes; Probiotic/Food Relevance: Enhances LAB growth and stress tolerance in iron-deficient food matrices, contributing to consistent fermentation and probiotic viability; Biological Pathways: Linked to ABC transporter and iron acquisition pathways involved in nutrient uptake and cellular metabolism."
EC:2.7.7.6,"Function: Catalyzes RNA synthesis using a DNA template, enabling transcription of genetic information into RNA; Role in LAB: Supports gene expression required for growth, metabolism, and stress response during fermentation; Probiotic/Food Relevance: Ensures proper protein production and metabolic activity of LAB, contributing to fermentation efficiency and probiotic functionality; Biological Pathways: Involved in transcription, nucleotide excision repair, cytosolic DNA-sensing, and RNA polymerase pathways that regulate gene expression and cellular adaptation."
EC:5.99.1.2,"Function: Modulates DNA topology by inducing transient breaks and resealing DNA strands, relieving supercoiling and torsional stress during replication and transcription; Role in LAB: Maintains genomic stability and ensures efficient DNA replication and transcription during growth and fermentation; Probiotic/Food Relevance: Supports LAB survival and consistent metabolic activity, enhancing fermentation reliability and probiotic effectiveness; Biological Pathways: Participates in DNA replication, transcription, and DNA repair pathways that preserve genome integrity and cellular function."
EC:3.6.3.12,"Function: Uses ATP hydrolysis to transport potassium ions across the cell membrane, maintaining ion homeostasis and membrane potential; Role in LAB: Regulates intracellular potassium levels, supporting metabolic activity, pH balance, and stress tolerance during fermentation; Probiotic/Food Relevance: Enhances LAB survivability and functionality in acidic or high-salt food environments, contributing to stable fermentation and probiotic benefits; Biological Pathways: Involved in ion transport and membrane potential maintenance pathways that regulate cellular homeostasis and adaptation."
EC:4.4.1.8,"Function: Catalyzes the cleavage of cysteine-S-conjugates to produce thiols, ammonia, and pyruvate, participating in sulfur amino acid metabolism; Role in LAB: Supports amino acid utilization and sulfur metabolism, contributing to growth and metabolic activity during fermentation; Probiotic/Food Relevance: Influences flavor development in fermented foods through thiol production and enhances LAB adaptability; Biological Pathways: Associated with cysteine and methionine metabolism pathways that regulate amino acid turnover and cellular metabolism."
