ec_number,description
EC:2.7.7.7,hi
EC:3.6.4.12,hi
EC:2.7.1.69,hi
EC:2.7.7.6,hi
EC:2.3.1.128,hi
EC:2.1.1.72,hi
EC:5.4.2.12,hi
EC:3.6.3.21,hi
EC:3.6.3.12,hi
EC:1.1.1.1,hi
EC:6.4.1.2,hi
EC:6.3.5.6,hi
EC:6.3.5.7,hi
EC:1.4.1.14,hi
EC:1.1.1.343,hi
EC:1.1.1.44,hi
EC:1.17.4.1,hi
EC:1.11.1.15,hi
EC:2.4.2.9,hi
EC:2.3.1.15,hi
EC:1.97.1.4,hi
EC:1.2.4.1,hi
EC:1.20.4.1,hi
EC:1.3.1.9,hi
EC:1.4.1.13,hi
EC:3.1.11.6,hi
EC:3.6.1.27,hi
EC:3.6.1.1,hi
EC:3.6.3.17,hi
EC:3.6.3.14,hi
EC:3.2.1.52,hi
EC:3.4.16.4,hi
EC:3.1.26.4,hi
EC:3.1.21.3,hi
EC:3.6.3.5,hi
EC:3.6.3.34,hi
EC:3.6.3.3,hi
EC:3.6.3.27,hi
EC:4.2.1.33,hi
EC:3.6.4.13,hi
EC:4.2.1.20,hi
EC:4.1.3.27,hi
EC:4.4.1.8,hi
EC:4.2.99.18,hi
EC:4.2.1.35,hi
EC:5.99.1.3,hi
EC:6.1.1.20,hi
EC:6.1.1.14,hi
EC:6.1.1.13,hi
EC:6.3.5.5,hi
