ko_id,ko_abundance,ko_function,ec_id,ec_class,ec_function,map_ids,pathway_names,brite_subclass,brite_class,ec_abundance
K02003,10,putative ABC transport system ATP-binding protein,nan,,,,,,,
K01223,10,6-phospho-beta-glucosidase,3.2.1.86,Hydrolases,6-phospho-beta-glucosidase,map00010; map00500,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,10
K01990,10,ABC-2 type transport system ATP-binding protein,nan,,,,,,,
K01992,10,ABC-2 type transport system permease protein,nan,,,,,,,
K02004,10,putative ABC transport system permease protein,nan,,,,,,,
K02757,10,beta-glucoside PTS system EIICBA component,2.7.1.-,Transferases,,map02060,Phosphotransferase system (PTS),Membrane transport,Environmental Information Processing,
K06147,10,"ATP-binding cassette, subfamily B, bacterial",nan,,,,,,,
K07024,10,sucrose-6-phosphatase,3.1.3.24,Hydrolases,sucrose-phosphate phosphatase,map00500; map01110,Starch and sucrose metabolism; Biosynthesis of secondary metabolites,Carbohydrate metabolism,Metabolism,
K02761,10,cellobiose PTS system EIIC component,nan,,,map00500; map02060,Starch and sucrose metabolism; Phosphotransferase system (PTS),Carbohydrate metabolism; Membrane transport,Environmental Information Processing; Metabolism,
K02529,9,"LacI family transcriptional regulator, galactose operon repressor",nan,,,,,,,
K17318,8,putative aldouronate transport system substrate-binding protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K17320,8,putative aldouronate transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K17319,8,putative aldouronate transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K02025,8,multiple sugar transport system permease protein,nan,,,,,,,
K02026,7,multiple sugar transport system permease protein,nan,,,,,,,
K03488,7,beta-glucoside operon transcriptional antiterminator,nan,,,,,,,
K02760,7,cellobiose PTS system EIIB component,"2.7.1.196, 2.7.1.205",Transferases,,map00500; map02060,Starch and sucrose metabolism; Phosphotransferase system (PTS),Carbohydrate metabolism; Membrane transport,Environmental Information Processing; Metabolism,
K02073,6,D-methionine transport system substrate-binding protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K15580,5,oligopeptide transport system substrate-binding protein,nan,,,map01501; map02010; map02024,beta-Lactam resistance; ABC transporters; Quorum sensing,Cellular community - prokaryotes; Drug resistance: antimicrobial; Membrane transport,Cellular Processes; Environmental Information Processing; Human Diseases,
K03492,5,"GntR family transcriptional regulator, regulator of glucomannan utilization",nan,,,,,,,
K03100,5,signal peptidase I,3.4.21.89,Hydrolases,signal peptidase I,map03060,Protein export,"Folding, sorting and degradation",Genetic Information Processing,5
K07720,5,"two-component system, response regulator YesN",nan,,,map02020,Two-component system,Signal transduction,Environmental Information Processing,
K07718,5,"two-component system, sensor histidine kinase YesM",2.7.13.3,Transferases,histidine kinase,map02020,Two-component system,Signal transduction,Environmental Information Processing,10
K12308,5,beta-galactosidase,3.2.1.23,Hydrolases,beta-galactosidase,map00052,Galactose metabolism,Carbohydrate metabolism,Metabolism,5
K02015,5,iron complex transport system permease protein,nan,,,,,,,
K02027,5,multiple sugar transport system substrate-binding protein,nan,,,,,,,
K02072,4,D-methionine transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K02028,4,polar amino acid transport system ATP-binding protein,7.4.2.1,Translocases,ABC-type polar-amino-acid transporter,,,,,
K02030,4,polar amino acid transport system substrate-binding protein,nan,,,,,,,
K02013,4,iron complex transport system ATP-binding protein,7.2.2.-,Translocases,,,,,,
K01624,4,"fructose-bisphosphate aldolase, class II",4.1.2.13,Lyases,fructose-bisphosphate aldolase,map00010; map00030; map00051; map00680; map00710; map01100; map01110; map01120; map01200; map01230,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids,Carbohydrate metabolism; Energy metabolism,Metabolism,4
K02071,4,D-methionine transport system ATP-binding protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K02042,4,phosphonate transport system permease protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K03704,4,cold shock protein,nan,,,,,,,
K02794,4,mannose PTS system EIIAB component,2.7.1.191,Transferases,protein-N(pi)-phosphohistidine--D-mannose phosphotransferase,map00051; map00520; map01100; map02060,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Phosphotransferase system (PTS),Carbohydrate metabolism; Glycan biosynthesis and metabolism; Membrane transport,Environmental Information Processing; Metabolism,
K06889,4,uncharacterized protein,nan,,,,,,,
K09963,4,uncharacterized protein,nan,,,,,,,
K16787,4,energy-coupling factor transport system ATP-binding protein,7.-.-.-,Translocases,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,
K02759,3,cellobiose PTS system EIIA component,"2.7.1.196, 2.7.1.205",Transferases,,map00500; map02060,Starch and sucrose metabolism; Phosphotransferase system (PTS),Carbohydrate metabolism; Membrane transport,Environmental Information Processing; Metabolism,
K02770,3,fructose PTS system EIIBC or EIIC component,2.7.1.202,Transferases,protein-N(pi)-phosphohistidine--D-fructose phosphotransferase,map00051; map01100; map01120; map02060,Fructose and mannose metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Phosphotransferase system (PTS),Carbohydrate metabolism; Membrane transport,Environmental Information Processing; Metabolism,
K02796,3,mannose PTS system EIID component,nan,,,map00051; map00520; map01100; map02060,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Phosphotransferase system (PTS),Carbohydrate metabolism; Glycan biosynthesis and metabolism; Membrane transport,Environmental Information Processing; Metabolism,
