ko_id,description
K02003,no
K01223,no
K01990,no
K01992,no
K02004,no
K02757,no
K06147,no
K07024,no
K02761,no
K02529,no
K17318,no
K17320,no
K17319,no
K02025,no
K02026,no
K03488,no
K02760,no
K02073,no
K15580,no
K03492,no
K03100,no
K07720,no
K07718,no
K12308,no
K02015,no
K02027,no
K02072,no
K02028,no
K02030,no
K02013,no
K01624,no
K02071,no
K02042,no
K03704,no
K02794,no
K06889,no
K09963,no
K16787,no
K02759,no
K02770,no
K02796,no
K03402,no
K03475,no
K03657,no
K03710,no
K03169,no
K02822,no
K02913,no
K02795,no
K02016,no
K01104,no
K00926,no
K00615,no
K00805,no
K07052,no
K19302,no
K07407,no
K07304,no
K16785,no
K07284,no
K05349,no
K03734,no
K08884,no
K06950,no
K06180,no
K05846,no
K02035,no
K01952,no
K01759,no
K01209,no
K00847,no
K01232,no
K00384,no
K00244,no
K01206,no
K01191,no
K01126,no
K01060,no
K01193,no
K00558,no
K00611,no
K00627,no
K00058,no
K00059,no
K00134,no
K00073,no
K00975,no
K00995,no
K00948,no
K00874,no
K00661,no
K00868,no
K00766,no
K00790,no
K00525,no
K00005,no
K00016,no
K00027,no
K02122,no
K02121,no
K02120,no
K02119,no
K02118,no
K02117,no
K02078,no
K02044,no
K02036,no
K02057,no
K02040,no
K02041,no
K02033,no
K02032,no
K02034,no
K01198,no
K01635,no
K01537,no
K01714,no
K01652,no
K01738,no
K01752,no
K01754,no
K01686,no
K01783,no
K01784,no
K01812,no
K01803,no
K01834,no
K01881,no
K01926,no
K01989,no
K01222,no
K01258,no
K01534,no
K01478,no
K01462,no
K01465,no
K01356,no
K01265,no
K00162,no
K00161,no
K00383,no
K00382,no
K02775,no
K02783,no
K02779,no
K02798,no
K03111,no
K02954,no
K02810,no
K02911,no
K02800,no
K02781,no
K02372,no
K02358,no
K02774,no
K02773,no
K02769,no
K02768,no
K02564,no
K02392,no
K02123,no
K02124,no
K05833,no
K05832,no
K05520,no
K05350,no
K05340,no
K04750,no
K04487,no
K04486,no
K03703,no
K03885,no
K03800,no
K03789,no
K03574,no
K03588,no
K03652,no
K03654,no
K03210,no
K03294,no
K03406,no
K03408,no
K03570,no
K03217,no
K06173,no
K06872,no
K06975,no
K06966,no
K06949,no
K06901,no
K06213,no
K05847,no
K06131,no
K05837,no
K09684,no
K08317,no
K07483,no
K07023,no
K07010,no
K07104,no
K07149,no
K07192,no
K06183,no
K10189,no
K09812,no
K09773,no
K10040,no
K10112,no
K10188,no
K09815,no
K13256,no
K12952,no
K12574,no
K12556,no
K11069,no
K10823,no
K10190,no
K14155,no
K16509,no
K15975,no
K15634,no
K15583,no
K13993,no
K16788,no
K18349,no
K18350,no
