Pathway,description
ANAGLYCOLYSIS-PWY,hoga
DTDPRHAMSYN-PWY,hoga
ARGSYNBSUB-PWY,hoga
ARGSYN-PWY,hoga
COA-PWY,hoga
PEPTIDOGLYCANSYN-PWY,hoga
OANTIGEN-PWY,hoga
GLUTORN-PWY,hoga
PWY-6121,hoga
PWY-6123,hoga
PWY-5667,hoga
UDPNAGSYN-PWY,hoga
PWY-6609,hoga
PWY-7219,hoga
PWY-7242,hoga
PWY0-1319,hoga
PWY0-1298,hoga
PWY0-1297,hoga
PWY0-1296,hoga
PWY0-1061,hoga
SER-GLYSYN-PWY,hoga
VALSYN-PWY,hoga
PWY-6386,hoga
PWY-6387,hoga
PWY-5100,hoga
P124-PWY,hoga
ANAEROFRUCAT-PWY,hoga
GLYCOLYSIS,hoga
PWY-5484,hoga
PWY-5910,hoga
PWY-5840,hoga
RIBOSYN2-PWY,hoga
PWY-5154,hoga
ARO-PWY,hoga
PWY-6471,hoga
PWY-7229,hoga
PWY-6126,hoga
PWY-922,hoga
PWY-7400,hoga
PWY-5837,hoga
PWY-6163,hoga
PWY-6317,hoga
PWY-5686,hoga
PWY4FS-8,hoga
THRESYN-PWY,hoga
PWY-7234,hoga
PWY4FS-7,hoga
PWY-5898,hoga
PWY-6897,hoga
PWY-7111,hoga
PWY-7199,hoga
PWY-6151,hoga
PWY-5973,hoga
PWY-5899,hoga
PWY-5897,hoga
NONOXIPENT-PWY,hoga
P125-PWY,hoga
FASYN-ELONG-PWY,hoga
P161-PWY,hoga
POLYISOPRENSYN-PWY,hoga
PWY-6122,hoga
PWY-6277,hoga
1CMET2-PWY,hoga
MET-SAM-PWY,hoga
COMPLETE-ARO-PWY,hoga
PWY-6470,hoga
PWY-5695,hoga
PWY-7222,hoga
PWY-7208,hoga
PWY-7663,hoga
PWY-7221,hoga
PWY-7220,hoga
PWY-2942,hoga
PWY-6385,hoga
GLUCUROCAT-PWY,hoga
HISTSYN-PWY,hoga
PWY-3001,hoga
PWY-6396,hoga
TRPSYN-PWY,hoga
PWY-5104,hoga
TEICHOICACID-PWY,hoga
CALVIN-PWY,hoga
HOMOSER-METSYN-PWY,hoga
BRANCHED-CHAIN-AA-SYN-PWY,hoga
ILEUSYN-PWY,hoga
PWY-5103,hoga
PWY-5863,hoga
