Pathway,description
ARGSYNBSUB-PWY,"Function: Catalyzes the synthesis of L-arginine via the acetyl cycle, an essential amino acid involved in protein synthesis and metabolic regulation; Role in LAB: Supports growth and stress response by providing L-arginine for cellular functions and polyamine production; Probiotic/Food Relevance: Enhances bacterial vitality and fermentation performance, potentially improving flavor development and nutritional value of fermented products."
COA-PWY,"Function: Catalyzes the biosynthesis of coenzyme A, a vital cofactor involved in numerous metabolic pathways including fatty acid metabolism and energy production; Role in LAB: Supports key enzymatic reactions for cellular metabolism and growth; Probiotic/Food Relevance: Enhances bacterial metabolic efficiency and viability during fermentation, contributing to stable and high-quality fermented products."
PEPTIDOGLYCANSYN-PWY,"Function: Catalyzes the synthesis of peptidoglycan containing meso-diaminopimelate, a critical component of bacterial cell walls providing structural support; Role in LAB: Maintains cell wall integrity and shape, essential for cell viability and resistance to environmental stress; Probiotic/Food Relevance: Supports bacterial robustness and survival during fermentation, contributing to the consistency and safety of fermented products."
PWY-5667,"Function: Catalyzes the biosynthesis of CDP-diacylglycerol, a key intermediate in the synthesis of phospholipids essential for membrane formation; Role in LAB: Supports membrane biogenesis and maintenance, crucial for cell viability and function; Probiotic/Food Relevance: Enhances bacterial stability and adaptability during fermentation, contributing to product quality and shelf-life."
PWY-6121,"Function: Catalyzes the formation of 5-aminoimidazole ribonucleotide, an important intermediate in the de novo purine biosynthesis pathway; Role in LAB: Supports nucleotide synthesis necessary for DNA, RNA, and energy metabolism, promoting bacterial growth and replication; Probiotic/Food Relevance: Enhances bacterial proliferation and metabolic activity during fermentation, improving culture stability and product quality."
PWY-6123,"Function: Catalyzes the biosynthesis of inosine-5'-phosphate (IMP), a precursor for adenine and guanine nucleotides; Role in LAB: Supports nucleotide pool balance essential for DNA, RNA synthesis, and cellular energy metabolism; Probiotic/Food Relevance: Enhances bacterial growth and metabolic efficiency during fermentation, contributing to robust cultures and consistent product quality."
RUMP-PWY,"Function: Catalyzes the oxidation of formaldehyde to formate, detoxifying formaldehyde and integrating it into cellular metabolism; Role in LAB: Protects cells from formaldehyde toxicity and provides metabolic intermediates for energy production; Probiotic/Food Relevance: Enhances bacterial survival and metabolic efficiency during fermentation, supporting consistent product quality and safety."
PWY0-1319,"Function: Catalyzes the formation of CDP-diacylglycerol from phosphatidic acid, a key step in phospholipid biosynthesis; Role in LAB: Supports membrane lipid formation essential for cell integrity, growth, and stress resistance; Probiotic/Food Relevance: Enhances cell membrane stability during fermentation, improving bacterial viability and product consistency."
PWY-7228,"Function: Catalyzes the multi-step synthesis of guanosine nucleotides from basic precursors, forming GMP and related intermediates; Role in LAB: Provides essential nucleotides for DNA, RNA, and energy metabolism, supporting cell growth and replication; Probiotic/Food Relevance: Enhances metabolic robustness and proliferation during fermentation, contributing to stable probiotic populations and consistent product quality."
PWY-7242,"Function: Catalyzes the conversion of D-fructuronate into central metabolic intermediates through oxidative and isomerization reactions; Role in LAB: Enables utilization of D-fructuronate as a carbon source, supporting metabolic flexibility under varying nutrient conditions; Probiotic/Food Relevance: Improves adaptability and energy yield during fermentation, enhancing bacterial persistence and fermentation performance."
UDPNAGSYN-PWY,"Function: Catalyzes the synthesis of UDP-N-acetyl-D-glucosamine from fructose-6-phosphate, a key precursor for cell wall peptidoglycan and exopolysaccharide formation; Role in LAB: Supports cell wall biosynthesis and structural integrity, contributing to stress resistance and cell division; Probiotic/Food Relevance: Enhances cell durability and texture-modifying properties during fermentation, improving product stability and probiotic viability."
PWY-7219,"Function: Catalyzes the synthesis of adenosine ribonucleotides from basic precursors, leading to AMP formation for nucleic acid and energy metabolism; Role in LAB: Supplies essential adenine nucleotides for RNA synthesis, ATP generation, and overall cellular energy balance; Probiotic/Food Relevance: Promotes active metabolism and growth during fermentation, supporting consistent bacterial performance and product quality."
PWY-7208,"Function: Catalyzes the recovery and recycling of pyrimidine nucleobases into nucleotide forms, reducing the need for de novo synthesis; Role in LAB: Conserves energy by reusing nucleobases for DNA and RNA synthesis, supporting efficient growth under nutrient-limited conditions; Probiotic/Food Relevance: Enhances metabolic efficiency and survival during fermentation, maintaining stable cell populations and consistent product quality."
PWY-7197,"Function: Catalyzes the phosphorylation of pyrimidine deoxyribonucleosides to generate deoxyribonucleotides required for DNA synthesis and repair; Role in LAB: Ensures adequate dNTP pools for replication and stress-induced DNA repair, supporting genomic stability; Probiotic/Food Relevance: Enhances cell viability and genetic integrity during fermentation, contributing to reliable strain performance and product consistency."
PWY-7221,"Function: Catalyzes the formation of guanosine ribonucleotides from precursor molecules through a series of enzymatic reactions leading to GMP synthesis; Role in LAB: Provides essential guanine nucleotides for RNA synthesis, signaling, and energy metabolism, supporting growth and replication; Probiotic/Food Relevance: Improves metabolic activity and resilience during fermentation, ensuring consistent probiotic performance and product quality."
PWY-6387,"Function: Catalyzes the stepwise synthesis of UDP-N-acetylmuramoyl-pentapeptide, a key precursor in peptidoglycan biosynthesis for bacterial cell wall formation; Role in LAB: Supports robust cell wall construction and maintenance, enhancing resistance to environmental stress and osmotic pressure; Probiotic/Food Relevance: Promotes cell integrity and survival during fermentation, improving probiotic stability and ensuring consistent texture and safety of fermented products."
