Pathway,description
ANAGLYCOLYSIS-PWY,"Function: Catalyzes key steps in glycolysis—phosphorylation of glucose, conversion of fructose-6-phosphate to fructose-1,6-bisphosphate, and formation of pyruvate from phosphoenolpyruvate; Role in LAB: Supports energy production and central carbon metabolism, enabling efficient growth and metabolic activity in lactic acid bacteria; Probiotic/Food Relevance: Enhances fermentation efficiency and ATP generation, contributing to LAB performance and the quality of fermented foods."
DTDPRHAMSYN-PWY,"Function: Converts glucose-1-phosphate to dTDP-glucose, precursor for dTDP-L-rhamnose in cell wall polysaccharide synthesis; Role in LAB: Provides building blocks for cell wall polysaccharides; Probiotic/Food Relevance: Enhances structural integrity and resilience of LAB."
ARGSYNBSUB-PWY,"Function: Forms N-acetylglutamate from glutamate and acetyl-CoA for arginine biosynthesis; Role in LAB: Provides a key intermediate for L-arginine production; Probiotic/Food Relevance: Supports protein synthesis and metabolic activity."
ARGSYN-PWY,"Function: Converts citrulline and aspartate to argininosuccinate in arginine biosynthesis; Role in LAB: Enables L-arginine production for amino acid metabolism; Probiotic/Food Relevance: Supports growth and fermentation efficiency."
COA-PWY,"Function: Phosphorylates pantothenate to 4?-phosphopantothenate, first step in CoA biosynthesis; Role in LAB: Provides CoA for central metabolism and energy production; Probiotic/Food Relevance: Enhances metabolic efficiency during fermentation."
PEPTIDOGLYCANSYN-PWY,"Function: Forms D-Ala-D-Ala dipeptide for peptidoglycan (cell wall) synthesis; Role in LAB: Ensures cell wall integrity; Probiotic/Food Relevance: Enhances survival and structural stability in food systems."
OANTIGEN-PWY,"Function: Produces sugar precursors for O-antigen in bacterial cell wall; Role in LAB: Contributes to cell surface structure and defense; Probiotic/Food Relevance: Supports cell stability and interaction with the environment."
GLUTORN-PWY,"Function: Converts glutamate semialdehyde to L-ornithine for amino acid metabolism; Role in LAB: Supplies intermediates for arginine biosynthesis; Probiotic/Food Relevance: Enhances protein production and metabolic activity."
PWY-6121,"Function: Catalyzes intermediate step in purine nucleotide biosynthesis; Role in LAB: Provides purine nucleotides for DNA/RNA synthesis; Probiotic/Food Relevance: Supports growth and replication."
PWY-6123,"Function: Converts IMP to XMP in purine nucleotide biosynthesis; Role in LAB: Enables GMP production for nucleic acid synthesis; Probiotic/Food Relevance: Supports replication and metabolic activity."
