ko_id,trait 
K01990,Nutrient uptake
K07024,Carbohydrate metabolism
K01992, Nutrient uptake
K02003, Nutrient uptake
K01223, Carbohydrate metabolism
K16509, Stress tolerance
K02004, Nutrient uptake
K06147, Nutrient uptake
K03704, Stress tolerance
K00016,Lactic acid production
K02761, Carbohydrate metabolism
K02073, Nutrient uptake
K02440, Nutrient uptake
K02030, Nutrient uptake
K02529, Carbohydrate metabolism
K00926, Energy / fermentation efficiency
K00805, Antioxidant activity
K00059,Membrane integrity
K001952, Growth
K02913, Growth
K03284, Stress tolerance
K07497, Genomic stability
K07025, Metabolism
K07483, Genomic stability
K07052,Enzyme regulation
K06180,Genomic stability
K00661,Carbohydrate metabolism
K02028,Amino acid metabolism
K15580,Amino acid metabolism
K15634,Energy / fermentation efficiency
