ko_id,Description,,,,,,,,,,,,,,,,,
K01990,"Function: Provides energy for 
ABC-2 transport system-mediated substrate import/export using ATP hydrolysis; Role in LAB: Supports nutrient uptake and metabolite export, facilitating growth and metabolic activity in lactic acid bacteria; Probiotic/Food Relevance: Enhances LAB survival and performance during fermentation, contributing to consistent probiotic function and food quality; Biological Pathway: Involved in ABC transporter systems (EC:3.6.3.12, EC:3.6.3.21), linking ATP hydrolysis to substrate transport across membranes in LAB",,,,,,,,,,,,,,,,,
K07024,"Function: Hydrolyzes
 sucrose-6-phosphate to release free sucrose and inorganic phosphate; Role in LAB: Supports carbohydrate metabolism by enabling utilization of sucrose for energy production; Probiotic/Food Relevance: Contributes indirectly to sugar metabolism and fermentation efficiency in LAB-based foods; Biological Pathway: Starch and sucrose metabolism (EC:3.1.3.24, map00500, map01110).",,,,,,,,,,,,,,,,,
K01992,"Function: Forms membrane
 channel component of the ABC-2 type transport system, facilitating substrate translocation across the cell membrane; Role in LAB: Aids in nutrient import and waste export, maintaining cellular homeostasis; Probiotic/Food Relevance: Enhances survival under stress by supporting efficient transport processes; Biological Pathway: ABC transporter systems (map02010), associated with membrane transport mechanisms.",,,,,,,,,,,,,,,,,
K02003,"Function: Provides 
energy for ABC transport system–mediated substrate import/export using ATP hydrolysis; Role in LAB: Supports nutrient uptake and metabolite export; Probiotic/Food Relevance: Enhances LAB survival and transport efficiency during fermentation; Biological Pathway: Involved in ABC transporter systems (map02010).",,,,,,,,,,,,,,,,,
K01223,"Function: Hydrolyzes 
6-phospho-?-glucosides to release glucose-6-phosphate; Role in LAB: Enables utilization of phosphorylated sugars for energy metabolism; Probiotic/Food Relevance: Supports carbohydrate metabolism and growth during fermentation; Biological Pathway: Glycolysis/Gluconeogenesis and Starch and sucrose metabolism (EC:3.2.1.86, map00010, map00500).",,,,,,,,,,,,,,,,,
K16509,"Function: Acts as a
 redox-sensitive transcriptional regulator controlling stress response genes; Role in LAB: Helps manage oxidative and disulfide stress; Probiotic/Food Relevance: Promotes cell survival under oxidative and environmental stress; Biological Pathway: Part of redox regulation and stress response networks.",,,,,,,,,,,,,,,,,
K02004,"Function: Forms 
membrane channel component of ABC transport system for substrate translocation; Role in LAB: Facilitates import of nutrients and export of metabolites; Probiotic/Food Relevance: Maintains metabolic balance under fermentation conditions; Biological Pathway: ABC transporter systems (map02010).",,,,,,,,,,,,,,,,,
K06147,"Function: Provides 
energy for substrate translocation via ABC transporter using ATP hydrolysis; Role in LAB: Ensures efficient nutrient and metabolite transport; Probiotic/Food Relevance: Improves nutrient acquisition during fermentation; Biological Pathway: ABC transporter systems (map02010).",,,,,,,,,,,,,,,,,
K03704,"Function: Acts as an 
RNA chaperone stabilizing RNA and proteins during cold stress; Role in LAB: Facilitates adaptation and survival under low-temperature conditions; Probiotic/Food Relevance: Enhances cold tolerance in starter cultures; Biological Pathway: Cold shock response regulation.",,,,,,,,,,,,,,,,,
K00016,"Function: Converts
 pyruvate to L-lactate using NADH, regenerating NAD? for glycolysis; Role in LAB: Central enzyme in lactic acid fermentation, maintaining redox balance; Probiotic/Food Relevance: Essential for acid production, flavor development, and preservation in fermented foods; Biological Pathway: Glycolysis/Gluconeogenesis, Pyruvate metabolism (EC:1.1.1.27, map00010, map00620).",,,,,,,,,,,,,,,,,
K02761,"Function: Transports 
 and phosphorylates cellobiose via the phosphotransferase system (PTS); Role in LAB: Enables uptake and metabolism of disaccharides; Probiotic/Food Relevance: Supports carbohydrate utilization and fermentation efficiency; Biological Pathway: Starch and sucrose metabolism; Phosphotransferase system (map00500, map02060).",,,,,,,,,,,,,,,,,
K02073,"Function: Binds D-methionine 
for delivery to its ABC transport system; Role in LAB: Facilitates amino acid uptake for protein and cofactor synthesis; Probiotic/Food Relevance: Supports nutritional adaptation and growth in nutrient-variable environments; Biological Pathway: ABC transporters (map02010).",,,,,,,,,,,,,,,,,
K02440,"Function: Facilitates passive 
transport of glycerol across the cell membrane; Role in LAB: Provides carbon and energy sources under fermentative conditions; Probiotic/Food Relevance: Enhances flexibility in substrate utilization; Biological Pathway: Glycerol transport and carbon source uptake.",,,,,,,,,,,,,,,,,
K02030,"Function: Binds 
polar amino acids for translocation via ABC transporters; Role in LAB: Enables efficient amino acid acquisition; Probiotic/Food Relevance: Supports growth and metabolic versatility in food environments; Biological Pathway: ABC transporter systems (map02010).",,,,,,,,,,,,,,,,,
K02529,"Function: Represses 
transcription of the galactose operon, regulating sugar metabolism; Role in LAB: Controls carbohydrate utilization pathways; Probiotic/Food Relevance: Balances sugar metabolism to optimize fermentation; Biological Pathway: Galactose metabolism regulation.",,,,,,,,,,,,,,,,,
K00926,"Function: Catalyzes
 ATP formation from carbamoyl phosphate and ADP; Role in LAB: Links nitrogen and energy metabolism; Probiotic/Food Relevance: Contributes to energy generation under anaerobic conditions; Biological Pathway: Arginine and nitrogen metabolism (EC:2.7.2.2, map00220, map00910).",,,,,,,,,,,,,,,,,
K00805,"Function: Synthesizes
 heptaprenyl diphosphate, a precursor for menaquinone (vitamin K?) and other terpenoids; Role in LAB: Supports quinone biosynthesis for electron transport; Probiotic/Food Relevance: Enhances redox balance and antioxidant capacity; Biological Pathway: Terpenoid backbone biosynthesis (EC:2.5.1.30, map00900).",,,,,,,,,,,,,,,,,
K00059,"Function: Reduces 
3-oxoacyl-ACP intermediates in fatty acid synthesis; Role in LAB: Participates in membrane lipid biosynthesis; Probiotic/Food Relevance: Maintains cell membrane integrity during stress; Biological Pathway: Fatty acid biosynthesis (EC:1.1.1.100, map00061).",,,,,,,,,,,,,,,,,
K001952,"Function: Catalyzes
 conversion of FGAR to FGAM in purine biosynthesis; Role in LAB: Essential for nucleotide and DNA/RNA synthesis; Probiotic/Food Relevance: Supports cell growth and replication; Biological Pathway: Purine metabolism (EC:6.3.5.3, map00230).",,,,,,,,,,,,,,,,,
K02913,"Function: Structural
 component of the 50S large ribosomal subunit (protein L33); Role in LAB: Contributes to ribosome assembly and stability for protein synthesis; Probiotic/Food Relevance: Supports efficient translation and growth during fermentation; Biological Pathway: Ribosome (map03010).",,,,,,,,,,,,,,,,,
