ko_id,ko_abundance,ko_function,ec_id,ec_class,ec_function,map_ids,pathway_names,brite_subclass,brite_class,ec_abundance,mapped
K01223,9,6-phospho-beta-glucosidase,3.2.1.86,Hydrolases,6-phospho-beta-glucosidase,map00010; map00500,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,9.0,Yes
K07024,8,sucrose-6-phosphatase,3.1.3.24,Hydrolases,sucrose-phosphate phosphatase,map00500; map01110,Starch and sucrose metabolism; Biosynthesis of secondary metabolites,Carbohydrate metabolism,Metabolism,,No
K02073,6,D-methionine transport system substrate-binding protein,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K07335,6,basic membrane protein A and related proteins,nan,,,map02010,ABC transporters,Membrane transport,Environmental Information Processing,,No
K03294,5,"basic amino acid/polyamine antiporter, APA family",nan,,,,,,,,No
K01990,5,ABC-2 type transport system ATP-binding protein,nan,,,,,,,,No
K00016,4,L-lactate dehydrogenase,1.1.1.27,Oxidoreductases,L-lactate dehydrogenase,map00010; map00270; map00620; map00640; map01100; map01110; map01120; map04066; map04922; map05230,Glycolysis / Gluconeogenesis; Cysteine and methionine metabolism; Pyruvate metabolism; Propanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; HIF-1 signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer,Amino acid metabolism; Cancer: overview; Carbohydrate metabolism; Endocrine system; Signal transduction,Environmental Information Processing; Human Diseases; Metabolism; Organismal Systems,4.0,Yes
K00383,4,glutathione reductase (NADPH),1.8.1.7,Oxidoreductases,glutathione-disulfide reductase,map00480; map01100; map04918; map05415,Glutathione metabolism; Metabolic pathways; Thyroid hormone synthesis; Diabetic cardiomyopathy,Cardiovascular disease; Endocrine system; Metabolism of other amino acids,Human Diseases; Metabolism; Organismal Systems,4.0,Yes
K02003,4,putative ABC transport system ATP-binding protein,nan,,,,,,,,No
K01992,4,ABC-2 type transport system permease protein,nan,,,,,,,,No
K00712,4,poly(glycerol-phosphate) alpha-glucosyltransferase,2.4.1.52,Transferases,poly(glycerol-phosphate) alpha-glucosyltransferase,map00552,Teichoic acid biosynthesis,Glycan biosynthesis and metabolism,Metabolism,4.0,Yes
K00841,4,aminotransferase,2.6.1.-,Transferases,,map00300; map01100; map01110; map01230,Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,Amino acid metabolism,Metabolism,,No
K02004,4,putative ABC transport system permease protein,nan,,,,,,,,No
K02028,4,polar amino acid transport system ATP-binding protein,7.4.2.1,Translocases,ABC-type polar-amino-acid transporter,,,,,,No
K15580,4,oligopeptide transport system substrate-binding protein,nan,,,map01501; map02010; map02024,beta-Lactam resistance; ABC transporters; Quorum sensing,Cellular community - prokaryotes; Drug resistance: antimicrobial; Membrane transport,Cellular Processes; Environmental Information Processing; Human Diseases,,No
K15634,4,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,Isomerases,"phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",map00010; map00260; map00680; map01100; map01110; map01120; map01200; map01230,"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids",Amino acid metabolism; Carbohydrate metabolism; Energy metabolism,Metabolism,,No
